p_value,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Labuan,W.P. Putrajaya
0.486916853,,,,,,,,,,,,,,,,
0.410367007,,,,,,,,,,,,,,,,
0.485766685,,,,,,,,,,,,,,,,
0.484514687,,,,,,,,,,,,,,,,
0.410457516,,,,,,,,,,,,,,,,
0.422165512,,,,,,,,,,,,,,,,
0.407569141,,,,,,,,,,,,,,,,
0.512056738,,,,,,,,,,,,,,,,
0.449209759,,,,,,,,,,,,,,,,
0.457394208,,,,,,,,,,,,,,,,
0.466419318,,,,,,,,,,,,,,,,
0.464769727,,,,,,,,,,,,,,,,
0.502686691,,,,,,,,,,,,,,,,
0.437798598,,,,,,,,,,,,,,,,
0.476070095,,,,,,,,,,,,,,,,
0.505649388,,,,,,,,,,,,,,,,
0.516270784,,,,,,,,,,,,,,,,
0.472787586,,,,,,,,,,,,,,,,
0.415043732,,,,,,,,,,,,,,,,
0.442844456,,,,,,,,,,,,,,,,
0.516632564,,,,,,,,,,,,,,,,
0.495383218,,,,,,,,,,,,,,,,
0.474946592,,,,,,,,,,,,,,,,
0.515869596,,,,,,,,,,,,,,,,
0.515656644,,,,,,,,,,,,,,,,
0.522260274,,,,,,,,,,,,,,,,
0.498665584,,,,,,,,,,,,,,,,
0.503276474,,,,,,,,,,,,,,,,
0.538979788,,,,,,,,,,,,,,,,
0.530690419,,,,,,,,,,,,,,,,
0.536239985,,,,,,,,,,,,,,,,
0.543928399,,,,,,,,,,,,,,,,
0.484765891,,,,,,,,,,,,,,,,
0.47816616,,,,,,,,,,,,,,,,
0.523661556,,,,,,,,,,,,,,,,
0.521850553,,,,,,,,,,,,,,,,
0.494901516,,,,,,,,,,,,,,,,
0.499745374,,,,,,,,,,,,,,,,
0.506333663,,,,,,,,,,,,,,,,
0.503205937,,,,,,,,,,,,,,,,
0.534234948,,,,,,,,,,,,,,,,
0.54216058,,,,,,,,,,,,,,,,
0.536215882,,,,,,,,,,,,,,,,
0.5370137,,,,,,,,,,,,,,,,
0.553556865,,,,,,,,,,,,,,,,
0.530689915,,,,,,,,,,,,,,,,
0.540794013,,,,,,,,,,,,,,,,
0.524911771,,,,,,,,,,,,,,,,
0.600947504,,,,,,,,,,,,,,,,
0.562626586,,,,,,,,,,,,,,,,
0.539355822,,,,,,,,,,,,,,,,
0.524563938,,,,,,,,,,,,,,,,
0.558534922,,,,,,,,,,,,,,,,
0.527554422,,,,,,,,,,,,,,,,
0.538497003,,,,,,,,,,,,,,,,
0.542837117,,,,,,,,,,,,,,,,
0.565347388,,,,,,,,,,,,,,,,
0.6091573,,,,,,,,,,,,,,,,
0.572912731,,,,,,,,,,,,,,,,
0.554936061,,,,,,,,,,,,,,,,
0.567715387,,,,,,,,,,,,,,,,
0.554719094,,,,,,,,,,,,,,,,
0.635905291,,,,,,,,,,,,,,,,
0.568812516,,,,,,,,,,,,,,,,
0.58203561,,,,,,,,,,,,,,,,
0.590544462,,,,,,,,,,,,,,,,
0.611421956,,,,,,,,,,,,,,,,
0.618296108,,,,,,,,,,,,,,,,
0.600278843,,,,,,,,,,,,,,,,
0.647503014,,,,,,,,,,,,,,,,
0.704136091,,,,,,,,,,,,,,,,
0.685182492,,,,,,,,,,,,,,,,
0.672461179,,,,,,,,,,,,,,,,
0.756673142,,,,,,,,,,,,,,,,
0.686278999,,,,,,,,,,,,,,,,
0.710010037,,,,,,,,,,,,,,,,
0.721849629,,,,,,,,,,,,,,,,
0.740147981,,,,,,,,,,,,,,,,
0.762858265,,,,,,,,,,,,,,,,
0.72916141,,,,,,,,,,,,,,,,
0.734951901,,,,,,,,,,,,,,,,
0.742444297,,,,,,,,,,,,,,,,
0.722972136,,,,,,,,,,,,,,,,
0.739707383,,,,,,,,,,,,,,,,
0.75554371,,,,,,,,,,,,,,,,
0.735490394,,,,,,,,,,,,,,,,
0.762998667,,,,,,,,,,,,,,,,
0.77730756,,,,,,,,,,,,,,,,
0.777295538,,,,,,,,,,,,,,,,
0.76136533,,,,,,,,,,,,,,,,
0.759895547,,,,,,,,,,,,,,,,
0.734339623,,,,,,,,,,,,,,,,
0.766204849,,,,,,,,,,,,,,,,
0.735579515,,,,,,,,,,,,,,,,
0.701824477,,,,,,,,,,,,,,,,
0.726118796,,,,,,,,,,,,,,,,
