t,date,cases_new,cases_recovered,cases_active,daily_vaccinated,FIXED,new_exposed_over,new_exposed_under,new_exposed,E(t)= NewCt+1 / delta,delta E(t),S,S/N,S/N * I,beta1,beta2,gamma1,gamma2,x1,match_check,x3,x4,vax_daily_p,vax_daily_f,vax_daily_bo,vax_daily_total,new_cases_unvax,new_cases_pvax,new_cases_fvax,new_cases_boost,new_cases_total,new_exposed_over_p,new_exposed_under_p,new_exposed_p,new_exposed_over_f,new_exposed_under_f,new_exposed_f,e_p,e_f,,ve_p,ve_f,vax_p_cum,vax_f_cum,ncass_vax_p_cum,ncass_vax_f_cum
177,6/26/2021,5803,5193,60158,56407,81,7628.833333,5491.5,6560.166667,33516,5586,29847045.5,0.915553543,55077.87004,0.119107123,0.714642741,0.07940756,522,529,1,737,809,142142,56403,0,198545,5294,394,115,0,5803,661.5,486.8333333,574.1666667,211.3333333,149,180.1666667,6.71E-08,5.31E-08,,99.85767799,99.78429629,5349712,2050013,9106,4718
178,6/27/2021,5586,4777,60895,66246,60,7831.666667,5510,6670.833333,31308,5218,29784078.33,0.913622035,55635.01381,0.119903508,0.719421049,0.07790459,737,749,1,383,474,111756,66241,0,177997,5033,421,132,0,5586,713.1666667,506.6666667,609.9166667,220.5,156,188.25,8.96E-08,4.67E-08,,99.8547412,99.78566687,5461468,2116254,9527,4850
179,6/28/2021,5218,4744,61278,43672,,7968.5,5621,6794.75,38622,6437,29711161.5,0.911385322,55847.86977,0.121665339,0.729992033,0.086458435,383,474,1,1048,1139,166529,43667,0,210196,4765,342,111,0,5218,750.3333333,521.3333333,635.8333333,227.8333333,162.8333333,195.3333333,6.23E-08,7.30E-08,,99.85487361,99.78550082,5627997,2159921,9869,4961
180,6/29/2021,6437,5298,62326,85549,,8281.833333,5640.166667,6961,37656,6276,29660694.75,0.909837262,56706.51721,0.12275485,0.736529099,0.07908417,1048,1139,1,1237,1347,158878,85536,0,244414,5850,425,162,0,6437,814.1666667,544.3333333,679.25,247.5,164.8333333,206.1666667,6.86E-08,3.87E-08,,99.85364517,99.78753179,5786875,2245457,10294,5123
181,6/30/2021,6276,4929,63563,96852,,8648.166667,6008.5,7328.333333,41928,6988,29568184.75,0.906999532,57651.61127,0.127114111,0.762684668,0.08778692,,,1,1310,1408,173960,96843,0,270803,5602,504,170,0,6276,885.3333333,617.6666667,751.5,262,183,222.5,6.80E-08,3.61E-08,,99.85192454,99.79022767,5960835,2342300,10798,5293
182,7/1/2021,6988,5580,64873,86620,,9097.333333,6531,7814.166667,41892,6982,29464004.42,0.903803816,58632.46499,0.133273719,0.799642314,0.096773696,,,1,597,704,183696,86610,0,270306,6165,647,176,0,6988,970.5,688.5,829.5,287.3333333,204.3333333,245.8333333,6.96E-08,4.38E-08,,99.84879108,99.79157838,6144531,2428910,11445,5469
183,7/2/2021,6982,6278,65470,70740,,9607.333333,7025.333333,8316.333333,39948,6658,29369570.25,0.900907063,58982.38541,0.140996897,0.845981383,0.086711471,,,1,863,981,170180,70729,0,240909,6191,589,202,0,6982,1073.333333,768.1666667,920.75,317.1666667,225.1666667,271.1666667,8.26E-08,5.86E-08,,99.84628649,99.7904865,6314711,2499639,12034,5671
184,7/3/2021,6658,5677,66333,79440,,9971.833333,7267.166667,8619.5,36270,6045,29290513.92,0.898482022,59599.00796,0.14462489,0.867749343,0.079462711,,,1,660,774,144769,79424,0,224193,5883,590,185,0,6658,1152.333333,847,999.6666667,335.5,245.6666667,290.5833333,1.04E-07,5.52E-08,,99.84322953,99.79086642,6459480,2579063,12624,5856
185,7/4/2021,6045,5271,66993,80871,,10542.66667,7513.333333,9028,38322,6387,29202454.42,0.89578081,60011.04383,0.150438976,0.902633858,0.067648859,,,1,1755,1855,135041,80859,0,215900,5293,591,161,0,6045,1274.833333,908.6666667,1091.75,376.8333333,263.6666667,320.25,1.21E-07,5.91E-08,,99.84007835,99.79220906,6594521,2659922,13215,6017
186,7/5/2021,6387,4532,68748,121528,,11296.16667,7881.833333,9589,45924,7654,29112555.42,0.893023172,61393.55705,0.156189028,0.937134168,0.069776575,,,1,2744,2857,206569,121485,0,328054,5552,623,212,0,6387,1448.833333,982,1215.416667,428.1666667,292.1666667,360.1666667,8.56E-08,4.31E-08,,99.83891209,99.79511681,6801090,2781407,13838,6229
187,7/6/2021,7654,4797,71492,139334,,12020.66667,8288.166667,10154.41667,42582,7097,28981438.42,0.889001178,63556.47225,0.159769986,0.958619915,0.068021597,,,1,2079,2234,217057,139317,0,356374,6702,735,217,0,7654,1589.833333,1107.833333,1348.833333,464.3333333,331,397.6666667,8.69E-08,3.99E-08,,99.83698218,99.79903457,7018147,2920724,14573,6446
188,7/7/2021,7097,4863,73571,176628,,12580.83333,8931.833333,10756.33333,53208,8868,28831950,0.884415644,65067.34336,0.165310781,0.991864685,0.078862595,,,1,2908,3066,218798,176602,0,395400,6156,727,214,0,7097,1731.666667,1237,1484.333333,506,360,433,9.22E-08,3.33E-08,,99.83544011,99.8053655,7236945,3097326,15300,6660
189,7/8/2021,8868,5802,76479,160668,,13110,9504.5,11307.25,55080,9180,28644565.67,0.878667658,67199.62385,0.168263591,1.009581544,0.074700245,,,1,3285,3467,229999,160642,0,390641,7544,1030,294,0,8868,1867.666667,1346.833333,1607.25,530.1666667,393.1666667,461.6666667,9.14E-08,3.76E-08,,99.83131029,99.80784437,7466944,3257968,16330,6954
190,7/9/2021,9180,5713,79764,129862,,13377.5,10163.5,11770.5,56118,9353,28472590.42,0.873392344,69665.26693,0.16895794,1.013747641,0.074093576,,,1,3294,3443,220644,129840,0,350484,7875,1016,289,0,9180,1937.333333,1483.5,1710.416667,549,419.8333333,484.4166667,9.72E-08,4.68E-08,,99.82748035,99.80837916,7687588,3387808,17346,7243
191,7/10/2021,9353,5910,83058,116782,,13777.16667,10102,11939.58333,54630,9105,28330957.92,0.869047789,72181.37125,0.165410869,0.992465213,0.062534614,,,1,3727,3911,219723,116763,0,336486,7915,1101,337,0,9353,2063.333333,1509.5,1786.416667,577.1666667,417.8333333,497.5,9.79E-08,5.13E-08,,99.82319541,99.80691768,7907311,3504571,18447,7580
192,7/11/2021,9105,5194,86785,103448,,13991.66667,9994.333333,11993,51444,8574,28202236.33,0.865099274,75077.6405,0.159741301,0.958447808,0.058086075,,,1,3357,3533,194714,103427,0,298141,7557,1208,340,0,9105,2181,1523.166667,1852.083333,589.8333333,412.6666667,501.25,1.10E-07,5.58E-08,,99.81758776,99.80473472,8102025,3607998,19655,7920
193,7/12/2021,8574,5041,90142,162556,,14052.83333,9852.833333,11952.83333,66474,11079,28086795.33,0.861558139,77662.57377,0.153907252,0.923443514,0.066450711,,,1,4896,5089,271849,162522,0,434371,7155,1097,322,0,8574,2260.333333,1573.166667,1916.75,599.8333333,417.6666667,508.75,7.82E-08,3.47E-08,,99.81572074,99.80664278,8373874,3770520,20752,8242
194,7/13/2021,11079,5990,95038,171456,,14022.66667,9760.166667,11891.41667,69708,11618,27912286.5,0.856205107,81372.02099,0.14613643,0.876818581,0.067099476,,,1,5062,5241,268464,171430,0,439894,9144,1470,465,0,11079,2390,1636.5,2013.25,636.5,424.8333333,530.6666667,7.89E-08,3.26E-08,,99.81090725,99.80577619,8642338,3941950,22222,8707
195,7/14/2021,11618,6377,100100,164098,,14528,9844.5,12186.25,79290,13215,27728939.08,0.850580953,85143.15344,0.143126599,0.858759595,0.060889111,,,1,6910,7120,295220,164063,0,459283,9325,1771,522,0,11618,2635.5,1759.333333,2197.416667,678.1666667,466.3333333,572.25,7.44E-08,3.48E-08,,99.80500324,99.80348626,8937558,4106013,23993,9229
196,7/15/2021,13215,6095,107010,161358,,15090.33333,10655,12872.66667,75246,12541,27552654.83,0.845173461,90442.01208,0.142330609,0.853983655,0.063003458,,,1,5585,5799,317710,161330,0,479040,10828,1876,511,0,13215,2891.5,2045,2468.25,727.6666667,522.3333333,625,7.26E-08,3.62E-08,,99.79968813,99.80157295,9255268,4267343,25869,9740
197,7/16/2021,12541,6742,112595,134253,,16146.16667,11476.66667,13811.41667,75168,12528,27378424.17,0.839828962,94560.542,0.146058984,0.876353902,0.058874728,,,1,5635,5899,283772,134234,0,418006,10135,1867,539,0,12541,3223.166667,2311.666667,2767.416667,803.8333333,570.3333333,687.0833333,8.66E-08,4.55E-08,,99.7941416,99.79793703,9539040,4401577,27736,10279
198,7/17/2021,12528,6629,118230,132256,,16736.83333,12256.5,14496.66667,64260,10710,27230359.75,0.835287109,98755.99488,0.146792776,0.880756658,0.048870845,,,1,4696,4932,264679,132232,0,396911,10129,1917,482,0,12528,3375.5,2551.666667,2963.583333,840.1666667,631.8333333,736,9.47E-08,4.71E-08,,99.78830071,99.79559163,9803719,4533809,29653,10761
199,7/18/2021,10710,5778,122926,104173,,17362,12678.33333,15020.16667,65832,10972,27083607.08,0.830785493,102125.1376,0.147076097,0.882456584,0.052381107,,,1,4310,4533,252502,104140,0,356642,8631,1626,453,0,10710,3602,2638.333333,3120.166667,904,653,778.5,1.01E-07,6.08E-08,,99.78469998,99.7925395,10056221,4637949,31279,11214
200,7/19/2021,10972,6439,127236,154610,,18265.33333,13192.16667,15728.75,74196,12366,26964413.92,0.827129261,105240.6187,0.149455127,0.89673076,0.059472162,,,1,4521,4799,288677,154583,0,443260,8628,1853,491,0,10972,3919.833333,2785.166667,3352.5,991.1666667,685.1666667,838.1666667,9.13E-08,4.26E-08,,99.78113565,99.79159593,10344898,4792532,33132,11705
201,7/20/2021,12366,7567,131757,103502,,18954.66667,13497.5,16226.08333,71910,11985,26794075.17,0.821904146,108291.6246,0.149836919,0.899021511,0.059974043,,,1,3811,4083,208419,103479,0,311898,9649,2176,541,0,12366,4175,2920.833333,3547.916667,1053.833333,737.8333333,895.8333333,1.29E-07,6.57E-08,,99.77349363,99.78736255,10553317,4896011,35308,12246
202,7/21/2021,11985,7902,135568,170577,,19165.83333,13708.83333,16437.33333,78204,13034,26674347.08,0.818231506,110926.0088,0.148182861,0.889097166,0.062227074,,,1,4332,4598,288943,170520,0,459463,9156,2247,582,0,11985,4312.166667,3042.833333,3677.5,1109.5,792.5,951,9.39E-08,4.11E-08,,99.76855664,99.78607452,10842260,5066531,37555,12828
203,7/22/2021,13034,8436,139900,176884,,19479.83333,13674.66667,16577.25,93438,15573,26487332.75,0.81249487,113668.0323,0.145839157,0.875034942,0.072151537,,,1,5190,5479,343263,176861,0,520124,9649,2654,731,0,13034,4476.166667,3134,3805.083333,1187.333333,828,1007.666667,7.92E-08,4.07E-08,,99.7635753,99.78290958,11185523,5243392,40209,13559
204,7/23/2021,15573,10094,145090,164626,,19497.33333,14219.66667,16858.5,95412,15902,26293871.5,0.806560475,117023.8594,0.144060366,0.864362195,0.065276725,,,1,6132,6431,314545,164598,0,479143,11444,3340,789,0,15573,4658.166667,3412.333333,4035.25,1233,917.5,1075.25,8.84E-08,4.50E-08,,99.75457332,99.77860369,11500068,5407990,43549,14348
205,7/24/2021,15902,9471,151222,137657,,19705.33333,14391.83333,17048.58333,102270,17045,26112387,0.800993466,121127.834,0.140748685,0.844492109,0.064031689,,,1,7059,7362,295868,137635,0,433503,11670,3453,779,0,15902,4916.333333,3607.833333,4262.083333,1303.5,960.8333333,1132.166667,9.53E-08,5.44E-08,,99.7453515,99.77352317,11795936,5545625,47002,15127
206,7/25/2021,17045,9683,158281,125091,,19870,14118.33333,16994.16667,87096,14516,25957681.42,0.796247896,126030.9133,0.134841256,0.809047537,0.059204832,,,1,4876,5145,292388,125066,0,417454,12519,3616,910,0,17045,5118.833333,3634.833333,4376.833333,1373.5,965.3333333,1169.416667,9.46E-08,5.91E-08,,99.73612558,99.76627323,12088324,5670691,50618,16037
207,7/26/2021,14516,9371,163157,195712,,20272.33333,14107.5,17189.91667,96702,16117,25815596.25,0.791889456,129202.3079,0.133046514,0.798279084,0.070643613,,,1,4315,4591,342641,195675,0,538316,11040,2767,709,0,14516,5356.833333,3729,4542.916667,1448.166667,1004.833333,1226.5,8.13E-08,3.84E-08,,99.73387008,99.76578998,12430965,5866366,53385,16746
208,7/27/2021,16117,11526,167472,205971,,20843.33333,14604,17723.66667,104430,17405,25602694.33,0.785358722,131525.5959,0.134754506,0.808527035,0.073881007,,,1,4711,5032,366414,205926,0,572340,11658,3535,924,0,16117,5760.333333,3965.5,4862.916667,1551,1076.5,1313.75,7.92E-08,3.81E-08,,99.72935009,99.76308013,12797379,6072292,56920,17670
209,7/28/2021,17405,12373,172183,207292,,21518.16667,15072.33333,18295.25,103020,17170,25378999.67,0.778496922,134043.9356,0.136486965,0.818921793,0.075094522,,,1,3951,4240,375301,207243,0,582544,12146,4154,1105,0,17405,6225.5,4327,5276.25,1671.666667,1156.166667,1413.916667,8.16E-08,3.96E-08,,99.72318355,99.75846581,13172680,6279535,61074,18775
210,7/29/2021,17170,12930,176134,218672,,21763.33333,15695.5,18729.41667,101040,16840,25153412.42,0.771577068,135900.9553,0.137816667,0.8269,0.069146218,,,1,4334,4661,362976,218637,0,581613,11878,4185,1107,0,17170,6548.333333,4701.333333,5624.833333,1750.5,1266.666667,1508.583333,8.80E-08,3.92E-08,,99.71748883,99.75487526,13535656,6498172,65259,19882
211,7/30/2021,16840,12179,180468,203090,,22019.66667,16277.66667,19148.66667,106716,17786,24916011,0.764294816,137930.7568,0.138828113,0.832968677,0.064931179,,,1,5756,6068,332898,203055,0,535953,11554,4163,1123,0,16840,6760.666667,5044.333333,5902.5,1841.833333,1364.5,1603.166667,9.82E-08,4.37E-08,,99.71176583,99.7508219,13868554,6701227,69422,21005
212,7/31/2021,17786,11718,186224,207659,,22265,16541.5,19403.25,102900,17150,24693772.33,0.757477679,141060.5233,0.137552659,0.825315952,0.060819228,,,1,5498,5824,336464,207624,0,544088,12103,4437,1246,0,17786,6970.833333,5249.666667,6110.25,1929.5,1429.166667,1679.333333,9.75E-08,4.34E-08,,99.70594507,99.74601611,14205018,6908851,73859,22251
213,8/1/2021,17150,11326,191722,185642,,22746,16111,19428.5,94584,15764,24466710.08,0.750512579,143889.7727,0.135023495,0.81014097,0.061375325,,,1,3622,3997,310430,185601,0,496031,11258,4708,1184,0,17150,7282,5248.833333,6265.416667,2027,1446.666667,1736.833333,1.05E-07,4.88E-08,,99.69901295,99.74137204,14515448,7094452,78567,23435
214,8/2/2021,15764,11767,195344,252259,,22906.16667,16010.16667,19458.16667,102630,17105,24261639.58,0.744222073,145379.3166,0.13384412,0.803064718,0.062950487,,,1,4468,4808,236921,252205,0,489126,10316,4316,1132,0,15764,7452.666667,5250.666667,6351.666667,2115.833333,1480.833333,1798.333333,1.37E-07,3.65E-08,,99.69162992,99.74076655,14752369,7346657,82883,24567
215,8/3/2021,17105,12297,199812,251074,,23084.83333,15992,19538.41667,118914,19819,23989922.42,0.735887191,147039.0913,0.132879063,0.797274377,0.063579765,,,1,6808,7115,254004,251009,0,505013,11011,4750,1344,0,17105,7520.5,5192.666667,6356.583333,2235.5,1520.666667,1878.083333,1.25E-07,3.74E-08,,99.68399152,99.73823459,15006373,7597666,87633,25911
216,8/4/2021,19819,12704,206620,273535,,23181.33333,16393.83333,19787.58333,123576,20596,23719310,0.727586196,150333.8599,0.131624262,0.789745571,0.067239377,,,1,6390,6703,242869,273479,0,516348,12684,5582,1553,0,19819,7564.833333,5299.166667,6432,2330.333333,1641.166667,1985.75,1.28E-07,3.51E-08,,99.67372637,99.73510222,15249242,7871145,93215,27464
217,8/5/2021,20596,13893,213010,303031,,23416.83333,16857.16667,20137,125334,20889,23425987.42,0.718588571,153066.5515,0.131557155,0.789342928,0.076963523,,,1,4137,4495,236000,302973,0,538973,12266,6606,1724,0,20596,7642,5505.5,6573.75,2444,1755.166667,2099.583333,1.31E-07,3.25E-08,,99.66053975,99.7322157,15485242,8174118,99821,29188
218,8/6/2021,20889,16394,217147,266001,,23726.5,17429.5,20578,115542,19257,23102819.42,0.708675442,153886.7463,0.133721717,0.802330305,0.075165671,,,1,2601,2935,205391,265949,0,471340,12088,6954,1847,0,20889,7787.5,5715.5,6751.5,2571,1879,2225,1.51E-07,3.85E-08,,99.64586924,99.72722936,15690633,8440067,106775,31035
219,8/7/2021,19257,16322,219748,247351,,24143.83333,17522,20832.91667,112128,18688,22816240.42,0.699884675,153798.2576,0.135456129,0.812736776,0.077611628,,,1,1313,1633,205012,247278,0,452290,11164,6374,1719,0,19257,7932.5,5755.166667,6843.833333,2745,1973.166667,2359.083333,1.52E-07,4.34E-08,,99.63398856,99.72316306,15895645,8687345,113149,32754
220,8/8/2021,18688,17055,221061,239754,,24083.83333,17348.66667,20716.25,103416,17236,22548056.5,0.691658175,152898.6478,0.13549008,0.812940479,0.068700494,,,1,1744,2049,172285,239698,0,411983,10974,5982,1732,0,18688,7865,5728.666667,6796.833333,2880.333333,2075.833333,2478.083333,1.78E-07,4.68E-08,,99.62263254,99.71917888,16067930,8927043,119131,34486
221,8/9/2021,17236,15187,222805,284806,,24327.5,17009.16667,20668.33333,119946,19991,22287586.25,0.68366829,152324.7133,0.135686015,0.81411609,0.072969637,,,1,3325,3733,203449,284733,0,488182,10001,5577,1658,0,17236,7959.166667,5595.166667,6777.166667,3067.666667,2125.666667,2596.666667,1.50E-07,4.09E-08,,99.61464021,99.71819139,16271379,9211776,124708,36144
222,8/10/2021,19991,16258,226130,201819,,24540.83333,17138.16667,20839.5,124680,20780,21982111.92,0.674297912,152478.9867,0.136671291,0.820027747,0.07948083,,,1,2519,2807,177060,201758,0,378818,11445,6617,1929,0,19991,7985.333333,5587,6786.166667,3213.833333,2258,2735.916667,1.69E-07,6.00E-08,,99.60283346,99.7120024,16448439,9413534,131325,38073
223,8/11/2021,20780,17973,228649,274807,,24890.16667,17517.83333,21204,130008,21668,21759453.42,0.667467896,152615.867,0.138937061,0.833622365,0.077354373,,,1,3687,3981,245074,274726,0,519800,12088,6606,2086,0,20780,7984.166667,5642.5,6813.333333,3518.333333,2411,2964.666667,1.22E-07,4.72E-08,,99.59513315,99.7083158,16693513,9688260,137931,40159
224,8/12/2021,21668,17687,232336,334087,,25155.5,18020.83333,21588.16667,128808,21468,21463442.42,0.658387804,152967.1889,0.141129394,0.846776364,0.073277495,,,1,4180,4443,218558,334002,0,552560,12213,7013,2442,0,21668,7994.166667,5702.166667,6848.166667,3771.833333,2702.5,3237.166667,1.35E-07,4.17E-08,,99.58572693,99.70522899,16912071,10022262,144944,42601
225,8/13/2021,21468,17025,236516,311369,,25032.33333,18441.16667,21736.75,124020,20670,21107767.25,0.647477523,153138.7938,0.141941499,0.851648996,0.074646113,,,1,2739,3015,185962,311313,0,497275,11832,7220,2416,0,21468,7834,5777.166667,6805.583333,3926.833333,2905.833333,3416.333333,1.55E-07,4.64E-08,,99.57482587,99.70203931,17098033,10333575,152164,45017
226,8/14/2021,20670,17655,239255,289792,,24687.66667,18470.5,21579.08333,123276,20546,20774661.5,0.637259555,152467.5349,0.141532316,0.849193896,0.070824016,,,1,3312,3601,181541,289723,0,471264,11432,6837,2401,0,20670,7627.166667,5724.166667,6675.666667,4044,3019.666667,3531.833333,1.54E-07,5.10E-08,,99.56544631,99.69865711,17279574,10623298,159001,47418
227,8/15/2021,20546,16945,242567,281857,,24888.66667,17708.83333,21298.75,118440,19740,20463290.42,0.627708295,152261.318,0.139882869,0.839297214,0.071938887,,,1,1999,2290,158631,281797,0,440428,11197,6855,2494,0,20546,7638.833333,5396.666667,6517.75,4244.666667,3052.166667,3648.416667,1.69E-07,5.34E-08,,99.55539168,99.69494292,17438205,10905095,165856,49912
228,8/16/2021,19740,17450,244566,335389,,24955.33333,17357,21156.16667,117786,19631,20160134.67,0.618409039,151241.825,0.139883043,0.839298256,0.067331518,,,1,2911,3164,191238,335307,0,526545,10591,6447,2702,0,19740,7599.833333,5248.666667,6424.25,4461.833333,3156.5,3809.166667,1.37E-07,4.65E-08,,99.54879272,99.69281752,17629443,11240402,172303,52614
229,8/17/2021,19631,16467,247477,350322,,25230.5,17203.33333,21216.91667,133452,22242,19803589.5,0.607472071,150335.3656,0.141130576,0.846783453,0.079522541,,,1,2284,2562,199345,350234,0,549579,10678,6212,2741,0,19631,7623.666667,5202.666667,6413.166667,4728,3201.5,3964.75,1.30E-07,4.57E-08,,99.54382013,99.69169331,17828788,11590636,178515,55355
230,8/18/2021,22242,19680,249761,364961,,24981.5,17592.83333,21287.16667,137688,22948,19432050.58,0.596075171,148876.3309,0.142985568,0.857913406,0.086963137,,,1,971,1228,207497,364840,0,572337,11861,7171,3210,0,22242,7502.333333,5272,6387.166667,4861.666667,3367.166667,4114.416667,1.23E-07,4.52E-08,,99.53744071,99.68922974,18036285,11955476,185686,58565
231,8/19/2021,22948,21720,250732,352179,,25037.33333,17970,21503.66667,141384,23564,19045802.42,0.584227068,146484.4212,0.146798318,0.880789909,0.085541534,,,1,1883,2116,197247,352056,0,549303,12459,7170,3319,0,22948,7495.333333,5370.5,6432.916667,5094,3637.333333,4365.666667,1.30E-07,4.95E-08,,99.53110932,99.68641891,18233532,12307532,192856,61884
232,8/20/2021,23564,21448,252615,341725,,25166,18790.83333,21978.41667,133572,22262,18672119.75,0.57276441,144688.8813,0.151901214,0.911407282,0.073534826,,,1,3438,3686,173367,341589,0,514956,12108,7213,4243,0,23564,7454,5645.333333,6549.666667,5342.833333,3955.833333,4649.333333,1.50E-07,5.39E-08,,99.52386251,99.67941386,18406899,12649121,200069,66127
233,8/21/2021,22262,18576,256053,326019,,25432,18747.83333,22089.91667,118842,19807,18308416.33,0.561607863,143801.3781,0.153614082,0.921684491,0.071079034,,,1,1304,1607,175551,325913,0,501464,11443,6897,3922,0,22262,7466.666667,5539.333333,6503,5550.5,4117.833333,4834.166667,1.45E-07,5.79E-08,,99.51803387,99.67429911,18582450,12975034,206966,70049
234,8/22/2021,19807,18200,257357,314653,,25442,18185.5,21813.75,106032,17672,17960307.42,0.550929675,141785.6085,0.153850241,0.923101445,0.074033347,,,1,-1654,-1381,151153,314553,0,465706,10489,5894,3424,0,19807,7391.833333,5263.5,6327.666667,5821.666667,4140.833333,4981.25,1.63E-07,6.15E-08,,99.51352136,99.67177613,18733603,13289587,212860,73473
235,8/23/2021,17672,19053,255703,256650,,24795.33333,17568.5,21181.91667,125022,20837,17623840.67,0.540608609,138235.2433,0.153230943,0.919385657,0.072791481,,,1,2037,2224,162664,256549,0,419213,9061,5206,3405,0,17672,7064.666667,5016.833333,6040.75,5983.833333,4250.166667,5117,1.45E-07,7.80E-08,,99.51163105,99.66751085,18896267,13546136,218066,76878
236,8/24/2021,20837,18613,257740,276764,,24193.5,17017.16667,20605.33333,135852,22642,17346008.75,0.532086158,137139.8864,0.150250477,0.901502862,0.080693722,,,1,1609,1844,170248,276684,0,446932,10610,6282,3945,0,20837,6706.833333,4765,5735.916667,6208.166667,4323.666667,5265.916667,1.31E-07,7.38E-08,,99.50813943,99.66237924,19066515,13822820,224348,80823
237,8/25/2021,22642,20798,259349,275441,,23744.83333,16749,20246.91667,147594,24599,17048639.42,0.522964399,135630.294,0.149280194,0.895681167,0.087361046,,,1,1672,1942,176691,275368,0,452059,11192,6937,4513,0,22642,6420.166667,4483.5,5451.833333,6369.333333,4481.333333,5425.333333,1.19E-07,7.60E-08,,99.50403982,99.65556762,19243206,14098188,231285,85336
238,8/26/2021,24599,22657,261021,267233,,23154.83333,16548.83333,19851.83333,132420,22070,16752951.5,0.513894218,134137.1826,0.147996498,0.88797899,0.08381318,,,1,-43,193,172800,267121,0,439921,12370,7313,4916,0,24599,6033.166667,4336.666667,5184.916667,6518.166667,4663.833333,5591,1.15E-07,8.02E-08,,99.49935882,99.64760749,19416006,14365309,238598,90252
239,8/27/2021,22070,21877,260978,218308,,23124.33333,16513.66667,19819,135582,22597,16465866.67,0.505087935,131816.839,0.150352566,0.902115397,0.074688288,,,1,2867,3105,159604,218232,0,377836,10540,6485,5045,0,22070,5869.833333,4211.833333,5040.833333,6843.833333,4923.5,5883.666667,1.21E-07,1.03E-07,,99.49601805,99.63780748,19575610,14583541,245083,95297
240,8/28/2021,22597,19492,263845,210635,,22805,16430.16667,19617.58333,123474,20579,16227739.67,0.497783425,131337.6679,0.149367532,0.896205193,0.079004719,,,1,-511,-266,163511,210552,0,374063,10426,6855,5316,0,22597,5668.333333,4017.333333,4842.833333,7063.333333,5140,6101.666667,1.12E-07,1.10E-07,,99.49255585,99.62738985,19739121,14794093,251938,100613
241,8/29/2021,20579,20845,263334,178112,,22413.33333,16195.16667,19304.25,115608,19268,15997487.08,0.490720463,129223.3823,0.149386664,0.896319984,0.08072258,,,1,-2262,-1989,154966,178037,0,333003,10016,5646,4917,0,20579,5407.666667,3867.166667,4637.416667,7156.666667,5220.333333,6188.5,1.14E-07,1.32E-07,,99.49133918,99.61763095,19894087,14972130,257584,105530
242,8/30/2021,19268,21257,261072,196025,,22575.16667,15788.33333,19181.75,125382,20897,15800070.83,0.484664749,126532.3955,0.151595565,0.909573391,0.070727615,,,1,2176,2432,196369,195949,0,392318,9335,5282,4651,0,19268,5332.666667,3717.666667,4525.166667,7411,5198.666667,6304.833333,8.83E-08,1.23E-07,,99.49384378,99.6102608,20090456,15168079,262866,110181
243,8/31/2021,20897,18465,263248,158363,,22295,15847.5,19071.25,112572,18762,15584864.08,0.478063315,125849.2117,0.15154048,0.909242883,0.080049991,,,1,-2579,-2311,129336,158290,0,287626,9492,5833,5572,0,20897,5198.333333,3677.5,4437.916667,7521.833333,5365.333333,6443.583333,1.30E-07,1.55E-07,,99.49114491,99.59839065,20219792,15326369,268699,115753
244,9/1/2021,18762,21073,260669,229394,,22594.66667,15889.16667,19241.91667,125928,20988,15407429.83,0.472620547,123197.5254,0.156187526,0.937125154,0.090049066,,,1,-2712,-2485,201935,229300,3,431238,8302,4974,5486,0,18762,5200.666667,3648.666667,4424.666667,7846.5,5485,6665.75,8.41E-08,1.12E-07,,99.49514248,99.59098978,20421727,15555669,273673,121239
245,9/2/2021,20988,23473,257957,207743,,22676.83333,16019.16667,19348,116268,19378,15158793.92,0.464993678,119948.3743,0.161302728,0.967816368,0.086832302,,,1,-3238,-3021,197158,207651,9,404818,9560,5166,6262,0,20988,5122.666667,3667.5,4395.083333,8027,5666.5,6846.75,8.64E-08,1.28E-07,,99.49869894,99.58062103,20618885,15763320,278839,127501
246,9/3/2021,19378,22399,254719,202369,,22477.16667,16385.5,19431.33333,114342,19057,14931702.92,0.458027697,116668.3569,0.166551873,0.999311236,0.084728662,,,1,-2753,-2525,157168,202283,0,359451,8601,4765,6012,0,19378,4987,3666.166667,4326.583333,8193,5887.166667,7040.083333,1.08E-07,1.37E-07,,99.50055363,99.57154029,20776053,15965603,283604,133513
247,9/4/2021,19057,21582,251966,188254,,22264,16494,19379,122376,20396,14709902.58,0.451224006,113693.1078,0.170450086,1.022700516,0.081649905,,,1,-426,-177,148169,188165,6,336340,8315,4533,6209,0,19057,4869,3596.666667,4232.833333,8265.333333,6176.333333,7220.833333,1.13E-07,1.52E-07,,99.50240783,99.56176695,20924222,16153768,288137,139722
248,9/5/2021,20396,20573,251540,171143,,21784.33333,15884,18834.16667,104112,17352,14502269.58,0.444854895,111898.8003,0.168314286,1.009885715,0.080309295,,,1,-3082,-2849,145820,171076,2,316898,8859,4666,6871,0,20396,4743.333333,3403.5,4073.416667,8270,6074.666667,7172.333333,1.11E-07,1.67E-07,,99.50404923,99.54967189,21070042,16324844,292803,146593
249,9/6/2021,17352,20201,248458,200135,,21744.66667,15277.66667,18511.16667,111282,18547,14312292.42,0.439027375,109079.8635,0.169702877,1.018217263,0.076077244,,,1,-583,-355,143375,200067,2,343444,7311,4073,5968,0,17352,4576,3262.666667,3919.333333,8510.666667,5946.833333,7228.75,1.10E-07,1.45E-07,,99.50669746,99.5426198,21213417,16524911,296876,152561
